,awardeeName,count
188,California State University-Fresno Foundation,2
1037,University of Arkansas at Pine Bluff,2
339,FEMTOFLUIDICS INCORPORATED,2
333,Endicott College,2
331,Emmanuel College,2
325,Elizabeth City State University,2
307,ELITE NEURO INC,2
302,"EARNEST AGRICULTURE, INC.",2
323,Education Development Center,2
311,"ENDEAVOR COMPOSITES, INC.",2
173,CUNY Kingsborough Community College,2
170,CUNY Graduate School University Center,2
253,Concord University,2
252,Concord Consortium,2
248,Colorado State University-Pueblo,2
846,SOSTOS LLC,2
844,SMARTCHARTS INC.,2
513,Kenyon College,2
507,"Keen, Rachel M",2
1184,Vassar College,2
1181,"Van Etten, Julia",2
100,Ball State University,2
88,"BBC Studios Americas, Inc.",2
87,Austin Community College,2
85,Augsburg University,2
1172,University of the District of Columbia,2
1170,University of Wisconsin-Whitewater,2
821,Rollins College,2
816,"Roberts, Miles David",2
812,Reuben H. Fleet Science Center,2
530,"LYOWAVE, INC",2
528,LUMINOVA BIOTECH LLC,2
526,LONG ISLAND CHILDREN'S MUSEUM,2
523,LF PRINTECH LLC,2
517,King's College,2
804,Regis College,2
799,Reed College,2
794,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",2
548,Lincoln University,2
537,Landmark College,2
536,"Lamman, Claire",2
782,"REDPOINT ONCOLOGY, INC.",2
772,Predictive Science Incorporated,2
763,"Pendergrass, Andrew",2
761,"Palos, Etienne I",2
208,Central Piedmont Community College,2
207,Central New Mexico Community College,2
205,Central Community College,2
199,Carthage College,2
198,"Carter, Brandon",2
280,Data & Society Research Institute,2
277,Dakota State University,2
1058,University of Dayton,2
1057,University of Dallas,2
187,California State University-Dominguez Hills Foundation,2
184,California State L A University Auxiliary Services Inc.,2
564,MAGNOLIA ELECTRONICS INC,2
563,"M3SIM, LLC",2
562,"M3D, INC.",2
561,Lygos Inc.,2
555,Louisiana State University Agricultural Center,2
56,American Institute of Mathematics,2
53,American Educational Research Association,2
84,Auburn University at Montgomery,2
77,Aspen Global Change Institute,2
73,"Archbold Expeditions, Inc.",2
72,Arapahoe Community College,2
553,Louisiana Board of Regents,2
551,Lorain County Community College,2
549,Long Island University,2
753,"PRINCETON CRITICAL MINERALS, INC.",2
750,"PLEXYMER, INC.",2
742,PHAGE REFINERY LLC,2
574,"METROLAB NETWORK, INC.",2
570,"MEDMICROMAPS, LLC",2
568,MATTIQ INC,2
565,MAGSORBEO BIOMEDICAL CORP,2
739,"PALENA THERAPEUTICS, INC.",2
733,Ohio University,2
732,Oglala Lakota College,2
727,OUTER COAST,2
725,"ORTHOMECHANICA, INC.",2
594,Marion Technical College,2
593,Marine Environmental Sciences Consortium,2
591,Manhattanville College,2
590,Maine Mathematics and Science Alliance,2
587,Macalester College,2
586,MULTITARGA LLC,2
582,MOLLOY UNIVERSITY,2
721,OM THERAPEUTICS INC.,2
720,OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION,2
607,Mathematical Association of America,2
606,Materials Research Society,2
597,"Marshall Reber, James",2
39,Air Force Institute of Tech,2
38,Agnes Scott College,2
1204,Wellesley College,2
1203,"Wedel, Emily R",2
1202,Wayne State University,2
1201,Washington and Lee University,2
1197,Walla Walla University,2
1196,"Walker, Samantha",2
1192,WHITE DWARF RESEARCH CORP,2
66,"Anderson, Amy Susan",2
704,Northeastern Illinois University,2
698,North Carolina Central University,2
695,"Nonnamaker, Emily",2
694,"Nolte, Alexander David",2
32,"Achenjang, Niven",2
647,"Moses, David",2
646,"Morris, Benjamin",2
1218,Widener University,2
44,Albany State University,2
635,Monmouth College,2
657,NATIONAL SCIENCE POLICY NETWORK,2
655,"NANODESK, LLC",2
650,Mount Saint Mary's University,2
649,Mount Marty College,2
648,Motlow State Community College,2
209,Central State University,2
625,Millersville University,2
624,Miles College,2
623,Midwestern University,2
622,Middlebury College,2
1219,Wilkes University,2
1216,Whitworth University,2
1213,Western Kentucky University,2
1211,Western Carolina University,2
669,"Naik, Abhishek T",2
668,NUETA HIDATSA SAHNISH COLLEGE,2
664,NOVAURUM BIOSCIENCES INCORPORATED,2
1230,X-SIGHT INCORPORATED,2
25,ARZEDA Corp.,2
237,Cold Spring Harbor Laboratory,2
236,Colby College,2
235,Coastal Carolina University,2
692,New York University Medical Center,2
681,Nazareth College of Rochester,2
0,"3VO MEDICAL, INC",1
5,"ACADEMIC WEB PAGES, INC.",1
6,"ACROSS AI, INC",1
7,ADIALANTE L.L.C.,1
8,ADVANCED CARPET RECYCLING LLC,1
10,AFFERENCE INC,1
11,AI LINEAR INC.,1
12,ALAMO COMMUNITY COLLEGE DISTRICT - St. Philip's College,1
14,"AMPHIX BIO, INC.",1
15,AMRF LLC,1
17,"ANOVA BIOMEDICAL, INC.",1
18,ANTELOPE VALLEY UNION HIGH SCHOOL DISTRICT,1
19,ANVIL DIAGNOSTICS INC.,1
22,"ARINNA, INC",1
21,ARCLET LLC,1
52,American Council of Learned Societies,1
49,Alverno College,1
48,Alma College,1
47,Allen Institute,1
45,Alcorn State University,1
43,Alamo Community College District Northeast Lakeview College,1
40,"Akopyan, Maria",1
37,Aerospace Corporation,1
1198,Washington College,1
1195,Wake Forest University School of Medicine,1
1193,"WINDOW THERAPEUTICS, INC.",1
1191,WGBH Educational Foundation,1
1190,WAVE LUMINA LLC,1
1189,Virginia Wesleyan University,1
678,NatureServe,1
677,National University,1
637,Monroe Community College,1
636,Monmouth University,1
632,Missouri Botanical Garden,1
630,Minot State University,1
629,"Minnesota State University, Mankato",1
660,NEXTGENEDU INC,1
659,"NEW GROWTH INNOVATION NETWORK, INC",1
658,"ND-DIAGENOMIX, INC.",1
656,NANORES LLC,1
654,"NAMAKA ALGAE, INC",1
653,Murray State University,1
652,Muhlenberg College,1
651,Mozilla Foundation,1
676,National Postdoctoral Association,1
703,Northeast State Technical Community College,1
702,NorthWest Arkansas Community College,1
700,North Central College,1
696,Norfolk State University,1
693,"Nicholas, Jonathan",1
628,Minneapolis Community and Technical College,1
627,Milwaukee Public Museum,1
626,Millsaps College,1
616,Metropolitan College of New York,1
615,Messiah College,1
614,Menlo College,1
689,New York Genome Center,1
686,New Mexico Consortium,1
684,New College of Florida,1
682,"Neitzey, Michelle",1
679,Naugatuck Valley Community College,1
716,OAKGROVE BIO LLC,1
715,"O'Brien, Connor",1
712,Northwest Missouri State University,1
711,Northwest Indian College,1
710,Northland Community & Technical College,1
611,"McShea, Hanon",1
610,"McCullough, Jenna Merle",1
609,Mayo Clinic Rochester,1
608,Mathematical Sciences Research Institute,1
604,Massachusetts General Hospital,1
603,Massachusetts Eye and Ear Infirmary,1
602,Marymount University,1
601,"Marx-Kuo, Jared",1
600,"Martin, Galen",1
599,"Martin, Bruce Stagg",1
708,Northern Kentucky University,1
566,"MANA BATTERY, INC.",1
740,PERATON LABS INC,1
737,Oregon Research Institute,1
728,OWLFLY,1
726,OTORO ENERGY INC,1
595,Marist College,1
589,"Magee, Lukas",1
585,"MOTMOT, INC.",1
584,MORNINGSIDE UNIVERSITY,1
583,MONGO APP INC.,1
581,"MOLECULAR INTERFACES, LLC",1
724,OPTIC FRINGE CORP.,1
